Date,explanation,lie,url
2017-01-21,He was for an invasion before he was against it.,I wasn't a fan of Iraq. I didn't want to go into Iraq.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-21,Trump was on the cover 11 times and Nixon appeared 55 times.,A reporter for Time magazine — and I have been on their cover 14 or 15 times. I think we have the all-time record in the history of Time magazine.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-23,There's no evidence of illegal voting.,Between 3 million and 5 million illegal votes caused me to lose the popular vote.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-25,Official aerial photos show Obama's 2009 inauguration was much more heavily attended.,"Now, the audience was the biggest ever. But this crowd was massive. Look how far back it goes. This crowd was massive.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-25,The report never mentioned voter fraud.,Take a look at the Pew reports (which show voter fraud.),https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-25,"The real number is less than 1 million, according to the Urban Institute.",You had millions of people that now aren't insured anymore.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-25,There were no gun homicide victims in Chicago that day.,"So, look, when President Obama was there two weeks ago making a speech, very nice speech. Two people were shot and killed during his speech. You can't have that.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-26,Vetting lasts up to two years.,We've taken in tens of thousands of people. We know nothing about them. They can say they vet them. They didn't vet them. They have no papers. How can you vet somebody when you don't know anything about them and you have no papers? How do you vet them? You can't.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-26,Most of the cuts were already planned.,"I cut off hundreds of millions of dollars off one particular plane, hundreds of millions of dollars in a short period of time. It wasn't like I spent, like, weeks, hours, less than hours, and many, many hundreds of millions of dollars. And the plane's going to be better.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-28,It never apologized.,The coverage about me in the @nytimes and the @washingtonpost has been so false and angry that the Times actually apologized to its dwindling subscribers and readers.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-29,There is no support for this.,"The Cuban-Americans, I got 84 percent of that vote.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-01-30,"At least 746 people were detained and processed, and the Delta outage happened two days later.","Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-03,There is no evidence of paid protesters.,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-04,It never apologized.,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-05,"About 60,000 people were affected.","We had 109 people out of hundreds of thousands of travelers and all we did was vet those people very, very carefully.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-06,Much of the price drop was projected before Trump took office.,I have already saved more than $700 million when I got involved in the negotiation on the F-35.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-06,"Terrorism has been reported on, often in detail.","It's gotten to a point where it is not even being reported. And in many cases, the very, very dishonest press doesn't want to report it.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-06,It didn't apologize.,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-06,The group’s origins date to 2004.,"And the previous administration allowed it to happen because we shouldn't have been in Iraq, but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-07,It was higher in the 1980s and '90s.,"And yet the murder rate in our country is the highest it’s been in 47 years, right? Did you know that? Forty-seven years.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-07,The Defense Department projected this price drop before Trump took office.,"I saved more than $600 million. I got involved in negotiation on a fighter jet, the F-35.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-09,It was part of Cuomo's first question.,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ‘service’ in Vietnam. FAKE NEWS!",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-02-09,The Gorsuch comments were later corroborated.,Sen. Richard Blumenthal now misrepresents what Judge Gorsuch told him?,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
